image,index,Image-URL-S,Image-URL-M,Image-URL-L
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=127x160 at 0x20B95D08908>,1,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=104x160 at 0x20B95D08D30>,2,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg
<PIL.GifImagePlugin.GifImageFile image mode=P size=1x1 at 0x20B95D089E8>,3,http://images.amazon.com/images/P/0060973129.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=108x160 at 0x20B95D08CF8>,4,http://images.amazon.com/images/P/0374157065.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=116x160 at 0x20B95D08DA0>,5,http://images.amazon.com/images/P/0393045218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393045218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg
<PIL.GifImagePlugin.GifImageFile image mode=P size=1x1 at 0x20B95D08EF0>,6,http://images.amazon.com/images/P/0399135782.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=108x160 at 0x20B95D08828>,7,http://images.amazon.com/images/P/0425176428.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=82x140 at 0x20B95D08860>,8,http://images.amazon.com/images/P/0671870432.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg
<PIL.GifImagePlugin.GifImageFile image mode=P size=1x1 at 0x20B95D08978>,9,http://images.amazon.com/images/P/0679425608.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679425608.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=105x160 at 0x20B95D08A20>,10,http://images.amazon.com/images/P/074322678X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/074322678X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=103x160 at 0x20B95D08BE0>,11,http://images.amazon.com/images/P/0771074670.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=105x160 at 0x20B95D08F98>,12,http://images.amazon.com/images/P/080652121X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080652121X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=112x160 at 0x20B95D08C88>,13,http://images.amazon.com/images/P/0887841740.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg
